instname,control,tuition,revenue,fed_grant_avg_amount,state_grant_avg_amount,inst_grant_avg,loan_avg_amount,tuition02_tf,totaldegrees,total_enrollment
California State University-Bakersfield,1,39595726,125606436,4992,2257,4796,4300,11160,1654,8003
California State University-Stanislaus,1,40867606,127633827,4838,2402,3711,5002,11160,1678,8586
California State University-San Bernardino,1,94274744,229616366,5395,2063,4219,4742,11160,3388,17852
California State Polytechnic University-Pomona,1,105228612,292383096,4871,2459,4319,5124,11160,4059,22273
California State University-Chico,1,95674062,236867822,5342,2455,4247,4336,11160,3557,16934
California State University-Dominguez Hills,1,67964166,162880452,4741,1946,4134,3786,11160,2309,14477
California State University-Fresno,1,104349921,299074752,5383,2274,4734,5087,11160,4385,21500
California State University-Fullerton,1,179086964,406626227,5193,2372,4103,4798,11160,7882,36262
California State University-East Bay,1,93034524,201876306,5254,2161,4016,5496,11160,3561,14749
California State University-Long Beach,1,179217212,405380199,5429,2367,4472,4865,11160,8670,35557
California State University-Los Angeles,1,105431089,272026159,5230,2110,4039,3976,11160,4420,20619
California State University-Northridge,1,191290907,441917571,5511,2125,4100,4908,11160,8128,35198
California State University-Sacramento,1,152041086,366498792,5192,2391,4459,5173,11160,5976,29241
University of California-Berkeley,1,556252000,2033088000,5276,6891,7957,5199,6888,10383,35830
University of California-Davis,1,391145000,2987475000,5309,6453,6758,5281,6888,8125,31247
University of California-Irvine,1,285829000,1801456000,5663,7041,5499,5385,6888,7566,27142
University of California-Los Angeles,1,603432000,4847416000,5491,6144,8060,5675,6888,11608,38550
University of California-Riverside,1,208906000,520445000,5524,5994,6384,5134,6888,3823,19384
University of California-San Diego,1,380806000,2908774000,5368,6309,5835,5131,6888,7524,28418
University of California-Santa Barbara,1,257833000,773512000,5319,6000,8269,5086,6888,5895,22850
University of California-Santa Cruz,1,190407000,532015000,5426,6075,7665,5484,6888,3909,16775
California Culinary Academy,3,17324764,19523155,4301,2360,1714,8722,14160,270,869
California Institute of the Arts,2,47824058,69520366,5768,6783,9572,10088,34830,391,1399
California Maritime Academy,1,7055262,38062908,5262,6567,3674,6586,11160,152,823
Canada College,1,4865436,27986760,4308,715,1286,5000,624,156,7280
College of the Canyons,1,12491371,105519307,3842,857,2013,5862,780,929,21575
Cerritos College,1,37390207,142959812,4413,956,220,3558,728,1014,21776
Chaffey College,1,14094991,152440905,4294,909,808,4498,676,1398,21399
Chapman University,2,276980205,294609762,6782,9370,20136,6705,35790,3589,12784
Concordia University,2,42649202,47808433,5005,7554,11497,7595,24650,921,2564
San Diego Christian College,2,9940375,9961555,4223,8892,8190,7011,20580,82,439
Citrus College,1,10522743,79922549,4458,975,447,5974,780,959,12895
Claremont McKenna College,2,47731000,136941000,2741,9708,29296,5676,38275,316,1238
Coastline Community College,1,37115461,258300748,4447,876,1317,4371,624,4146,50525
Coleman University,2,7117800,12132991,2354,3247,1000,6525,45360,237,574
Columbia College Hollywood,2,5842786,6729695,4620,7669,1200,12563,16500,66,341
El Camino College-Compton Center,1,3694541,41946747,4215,675,1000,3475,624,157,6691
Contra Costa College,1,30993982,240141757,4458,835,2631,3804,738,1252,41040
Cuesta College,1,8568152,68574675,4327,851,502,5273,820,643,12025
Cuyamaca College,1,21837802,127337993,4334,820,215,3068,754,1486,29794
De Anza College,1,67609359,336871673,4310,1057,425,4591,765,1752,43484
College of the Desert,1,7451231,98888176,4381,946,803,6351,728,694,12237
DeVry University-California,3,137221777,133334675,4349,5515,2083,7878,14400,1524,8993
Dominican University of California,2,52491560,50747189,5069,8748,16490,9164,33540,427,2094
El Camino Community College District,1,19947458,155863359,4426,829,789,4883,650,1295,27237
The Fashion Institute of Design & Merchandising-Los Angeles,3,140310445,139029569,5128,6134,2500,7283,25011,2494,6152
Fashion Careers College,3,1739510,1739510,4578,6712,2536,6950,19900,35,75
Feather River Community College District,1,662522,24190032,4525,831,743,4448,5700,167,2267
Fresno Pacific University,2,42867620,42743070,5736,8195,10966,5736,23640,651,2668
Hartnell College,1,4308296,74671437,4313,798,476,3500,780,429,10451
Harvey Mudd College,2,29098837,61421100,6596,9708,21838,6711,38222,172,763
Heald College-San Francisco,3,162967519,183585909,5076,5437,1881,9416,12240,3127,13637
Holy Names University,2,20951298,22153054,4352,6093,13407,6809,27000,151,1135
Humboldt State University,1,45708030,144380878,5123,2696,4811,4826,11160,1428,7954
Humphreys College-Stockton and Modesto Campuses,2,10968678,10830041,4756,7934,1787,7080,9648,133,867
Imperial Valley College,1,2451215,71529971,4377,1265,604,5000,733,570,8831
ITT Technical Institute-San Diego,3,23309948,23158226,5952,1810,2669,9917,16848,326,1430
ITT Technical Institute-San Dimas,3,17898267,17811996,5037,9708,2261,10391,16848,290,1030
ITT Technical Institute-Anaheim,3,17426196,17316777,5719,6664,2958,11187,16848,292,951
American Jewish University,2,5915046,23381535,4425,1551,17054,12712,21408,56,251
Reedley College,1,8938994,64842343,4403,1016,600,2874,624,590,15384
Life Pacific College,2,3932371,7714745,4021,3182,2431,6492,12000,74,487
The Art Institute of California-San Diego,3,50817264,56723470,9896,5212,1685,12076,24144,518,2040
University of La Verne,2,116236279,110400978,5020,8019,13688,7317,28250,2159,7482
Laguna College of Art and Design,2,6491984,7140117,2754,8078,4422,6008,21600,73,409
Lassen Community College,1,1404194,18524638,4291,585,882,4597,624,141,2250
Southern California Seminary,2,1440390,2112453,4600,1017,1017,9500,12204,74,195
