instname,control,tuition,revenue,fed_grant_avg_amount,state_grant_avg_amount,inst_grant_avg,loan_avg_amount,tuition02_tf,totaldegrees,total_enrollment
Southeast Community College Area,1,23421949,93692508,2643,445,798,5095,2115,1296,11556
Union College,2,16728209,24485632,3924,1567,6198,4369,16930,164,883
Wayne State College,1,15232024,45412851,4402,1690,2181,5176,3675,694,3631
York College,2,6095259,9142642,5048,865,6489,7508,12500,62,430
College of Southern Nevada,1,57200000,170170000,4396,803,810,6302,1845,1807,42108
The Art Institute of Las Vegas,3,30188332,32496896,5934,744,1830,12255,23000,185,1346
University of Nevada-Las Vegas,1,182416000,536770000,4679,1855,7699,4888,4485,5254,29080
University of Nevada-Reno,1,105913650,531289326,4322,1734,2318,6279,4485,3109,16875
Great Basin College,1,5267958,27449096,4707,787,794,5951,1845,297,3647
Sierra Nevada College,2,13064085,14517144,4808,1871,14040,4903,22768,202,903
Truckee Meadows Community College,1,17981000,63370000,4476,1032,1050,6650,1845,671,12942
Western Nevada College,1,7036600,29604600,3990,742,1080,5790,1845,451,5229
Colby-Sawyer College,2,31862237,36681497,5841,765,16975,4142,31090,142,1122
Daniel Webster College,3,17590572,9625674,5351,563,13450,7324,27940,232,878
Dartmouth College,2,247818480,877863814,6746,541,33230,4461,38445,1727,5987
Franklin Pierce University,2,52468697,49763747,5345,910,15806,8456,27700,627,2437
Hesser College,3,47013683,41673876,4233,1804,703,7098,13354,921,4512
Lebanon College,2,1087509,1285839,6311,817,333,2948,8568,22,273
New England College,2,33043919,33731985,5949,724,12058,10523,27200,502,2102
Southern New Hampshire University,2,98674871,95736663,5115,1247,12816,9158,26112,2258,7119
University of New Hampshire-Main Campus,1,367060215,712029821,5269,1369,6848,7420,10080,6602,29656
Nashua Community College,1,11495386,21928687,4095,2587,597,5337,5856,385,3159
Rivier College,2,33025035,35621092,5024,725,9294,9677,23490,584,2256
Saint Anselm College,2,57720838,77218837,5629,629,16461,8769,29720,447,1915
Thomas More College of Liberal Arts,2,943509,2602145,3728,400,7950,6160,14500,11,64
Chester College of New England,2,3269078,7076582,4032,1406,4765,7679,16780,47,198
Atlantic Cape Community College,1,26510080,50561403,4322,2085,1924,5114,5580,779,7588
Berkeley College,3,77304103,67383219,3954,5079,3382,5516,19050,638,3709
Bloomfield College,2,41452756,43665889,4993,9404,5715,7592,20000,287,2156
Brookdale Community College,1,46387357,112597892,4558,2468,824,3877,5520,1718,15639
Burlington County College,1,25883998,52351167,4072,1916,1942,3397,3060,1201,9693
Caldwell College,2,36731910,33033623,4571,8332,10235,5792,23800,393,2284
Camden County College,1,47400248,97812697,3562,2039,1097,3321,2910,1528,15670
Centenary College,2,50265000,48636000,4157,8115,10205,6522,25334,745,2939
County College of Morris,1,32274711,61820841,2106,1279,383,1704,6300,1149,8798
Cumberland County College,1,12852855,29503203,3371,2529,1560,5495,5640,555,4014
DeVry University-New Jersey,3,31988780,31834593,3995,4442,1676,7339,14720,399,1713
Drew University,2,79339010,106059472,5232,7720,17497,6045,37310,610,2667
Essex County College,1,61339871,114190982,4359,1978,2637,5398,4968,1004,13314
Fairleigh Dickinson University-Metropolitan Campus,2,206702382,196389394,4147,9157,15153,7129,28194,2768,12309
Felician College,2,42598366,43827785,5234,9734,7847,7951,23650,450,2113
Georgian Court University,2,50724781,52956663,5251,9143,10876,8033,23246,607,3023
Rowan University,1,115508089,253664219,2774,5466,4322,7375,8074,2499,11006
Hudson County Community College,1,30385183,55154231,4025,1818,2757,3485,5775,688,8682
New Jersey City University,1,72004765,143165732,4824,5532,5410,6000,6542,1485,8399
Kean University,1,128978354,238222001,4843,4982,2744,8796,6165,3073,15051
Mercer County Community College,1,30707303,86765983,3790,2203,425,3898,3276,863,9621
Middlesex County College,1,70558014,123111710,4563,2156,495,4109,4656,1394,13356
Monmouth University,2,137973709,156063244,5453,7676,9800,9004,24386,1661,6499
Montclair State University,1,149151000,333285000,4778,4880,6600,7158,7042,3663,18171
New Jersey Institute of Technology,1,114930000,256563000,4906,7354,11008,7198,10816,1929,8840
Passaic County Community College,1,22686780,62018108,4347,1546,554,2873,2790,479,8883
Princeton University,2,258830000,2500873000,6437,2126,32503,4787,35340,1992,7592
Ramapo College of New Jersey,1,63434000,143048000,5583,5430,8774,8080,7683,1351,6026
Rider University,2,143772000,149438000,5559,8287,12523,9361,28470,1466,6036
Rutgers University-Camden,1,697339000,1975139000,5308,7260,5856,7517,9546,12314,54648
Saint Peter's College,2,85850841,81223078,4927,9226,13572,6616,26070,736,3122
Salem Community College,1,5428206,12695073,4137,2137,2168,4062,3090,157,1514
Seton Hall University,2,251333000,264721000,6111,8193,13829,12792,28520,2232,9616
College of Saint Elizabeth,2,30855091,33475543,5208,9376,13497,6632,23642,435,2157
Raritan Valley Community College,1,23941500,53064894,4065,2043,1000,3876,3030,839,7888
Stevens Institute of Technology,2,135312484,176931935,6040,5977,21767,10239,33600,1701,5757
The Richard Stockton College of New Jersey,1,68901283,157364841,4767,4767,6451,8166,7067,1878,7559
The College of New Jersey,1,93496000,199042000,4509,3917,4520,8325,8980,1773,6980
Union County College,1,39655161,77983987,4734,2013,1185,3598,4512,837,12751
William Paterson University of New Jersey,1,114379866,211167022,5228,4881,2641,6215,6567,1826,10820
Central New Mexico Community College,1,17918902,135206096,4664,830,637,5366,1836,1579,27999
Clovis Community College,1,2537719,21933322,4717,702,294,2619,768,104,4282
Eastern New Mexico University-Main Campus,1,14183548,66616192,4830,2166,1851,4544,2514,663,5599
Eastern New Mexico University-Roswell Campus,1,4668497,32915258,4671,974,2255,2995,1160,301,4347
Institute of American Indian and Alaska Native Culture,1,818084,15430332,3914,1073,1167,2161,2400,24,350
New Mexico Highlands University,1,10063151,59317405,4817,1252,1708,3793,2165,714,3739
New Mexico Junior College,1,3907151,35353186,3932,972,3507,4488,1128,179,2313
New Mexico Military Institute,1,3098856,30140492,5165,1024,3919,4199,1370,94,416
New Mexico Institute of Mining and Technology,1,9322488,154117678,5014,2343,3409,4671,3980,304,1761
University of New Mexico-Main Campus,1,253889870,2310223515,4604,2155,2604,5041,4007,9067,69071
Northern New Mexico College,1,2707312,23719222,3758,896,1347,2950,2047,141,2066
San Juan College,1,7170432,56348567,4769,658,777,5189,768,472,8990
Santa Fe Community College,1,5814483,53787140,3503,834,922,6231,1290,234,4630
University of the Southwest,2,5414004,9431472,4846,4456,4209,6224,14710,126,528
Mesalands Community College,1,1592490,12886077,4632,1209,1232,2000,1214,65,991
Western New Mexico University,1,9336866,40177360,4447,1989,1500,5319,2616,327,3370
Vaughn College of Aeronautics and Technology,2,19838921,28528105,2760,2175,1231,3253,16300,213,1310
Adelphi University,2,177029533,177257051,4684,2759,11298,6410,24100,2436,7951
Adirondack Community College,1,11669419,31222732,4165,1550,2129,4183,3256,441,3873
Globe Institute of Technology,3,568703,926595,2516,1915,1298,2211,10950,109,528
Albany College of Pharmacy and Health Sciences,2,38648047,47097415,5217,1886,5585,10439,23260,223,1566
Alfred University,2,45936119,78558393,5250,2795,13272,7770,24366,600,2319
American Academy of Dramatic Arts,2,6404475,6233269,6065,1011,6890,16115,23750,75,184
American Musical and Dramatic Academy,2,36997703,39516208,4901,6564,5728,7518,26850,74,1113
Bard College,2,84006033,136215583,4872,2882,27996,5104,39080,781,2234
Barnard College,2,87863651,138476677,6214,3789,26994,4289,37051,617,2357
Berkeley College,3,97517622,84450624,4074,3376,3033,5731,19050,722,4430
Boricua College,2,18672997,20208340,2024,2460,321,4221,9500,273,1051
Bramson ORT College,2,10172354,10719339,4510,3438,1377,3437,10080,195,789
Briarcliffe College,3,34309959,35724669,4949,3005,5222,8218,16392,543,1779
Broome Community College,1,22882203,57510145,3580,1537,2083,3752,3276,1103,6877
Bryant and Stratton College-Main Syracuse,3,94254460,103266584,2622,2068,1313,3621,14670,1483,6446
Canisius College,2,113361599,94332475,5790,2809,16536,8152,28455,1354,4774
Cayuga County Community College,1,14157059,46554502,4601,1910,908,4452,3560,552,4798
Cazenovia College,2,19566451,27666108,5313,2716,12537,6872,23752,182,1119
Clarkson University,2,95854541,107267774,7706,2199,21541,7005,32220,719,3187
Clinton Community College,1,6395348,16952585,4068,1799,1682,5037,3540,285,2246
Colgate University,2,113041466,199206574,5739,2845,32047,2416,40690,695,2837
Metropolitan College of New York,2,24620727,28144582,5309,3486,2362,7260,16350,478,1084
Columbia University in the City of New York,2,1043833831,4125163465,5380,3588,34109,7546,39296,11376,29537
Columbia-Greene Community College,1,7437552,20206456,4346,1685,1406,4396,3312,305,2048
Concordia College-New York,2,16160503,18471462,5016,3620,11469,6683,23950,165,686
Cooper Union for the Advancement of Science and Art,2,36172236,59605363,2858,2074,35039,3294,35000,220,995
Cornell University,2,715037682,2038599564,6332,2182,29758,5431,37750,6428,20633
Corning Community College,1,15099950,46083387,4236,1707,1090,4652,3470,613,5672
Crouse Hospital School of Nursing,2,1331427,4566745,4217,1972,900,6172,7950,90,277
Culinary Institute of America,2,101609642,134674652,5114,1919,6192,8275,23380,1422,2914
CUNY City College,1,1235936447,3525722222,4744,2590,4206,4145,4600,38600,259515
D'Youville College,2,50401940,50110477,4516,2937,9668,9605,19800,756,2971
Daemen College,2,43246091,39757049,4632,2451,9368,6191,20250,732,2921
Dominican College of Blauvelt,2,36657623,35617303,2675,2891,10582,13427,20420,454,2099
Dowling College,2,90512820,86412211,3800,3211,7507,9408,20860,1401,5532
Dutchess Community College,1,26001480,64200084,4553,1435,2001,4888,2900,963,9823
Elmira College,2,43359218,49792120,5001,2304,20592,5725,33500,400,1634
Erie Community College,1,50170873,122011716,3631,1537,1369,2611,3300,1842,14823
Fashion Institute of Technology,1,75922044,175284726,4975,2200,615,5980,3714,3468,10413
Finger Lakes Community College,1,19609049,50075488,4026,1633,1293,5187,3296,843,6699
Five Towns College,3,17431648,20926992,3312,2763,3812,5656,17400,214,1173
Fordham University,2,443316994,500199374,5844,3909,16978,7862,35717,4150,14544
Fulton-Montgomery Community College,1,8509074,22707699,4055,1661,480,4604,3194,402,2732
Genesee Community College,1,15801443,41095320,4592,2427,1227,5286,3400,741,7208
Hamilton College,2,78241000,194181000,6503,2845,30172,4661,39370,498,1882
Hartwick College,2,46105980,47607940,5731,2509,19587,9319,32550,365,1470
Helene Fuld College of Nursing,2,4553552,4858101,2759,1482,1597,8152,14812,176,354
Herkimer County Community College,1,10688483,34709838,4260,1733,1116,4713,3240,543,3725
Hilbert College,2,13956554,15504397,4427,2364,3994,11172,17350,226,967
Hobart William Smith Colleges,2,82567155,105722730,7101,3124,21280,5667,39144,490,2115
Hofstra University,2,335617147,372030281,5132,2862,13561,9893,29080,2951,12068
Houghton College,2,30626232,37600793,4686,2438,11214,6912,24440,374,1336
Hudson Valley Community College,1,40964512,114395196,3809,1350,446,4673,3100,1763,13320
Iona College,2,104068788,98198500,4904,2797,11812,7332,25600,1128,4248
Island Drafting and Technical Institute,3,1970517,2036158,4099,3472,2000,6953,14250,66,138
Ithaca College,2,212673125,226382988,5580,2670,15886,6237,32060,1681,6894
Jamestown Community College,1,16626434,40448466,4576,1871,2327,4605,3640,708,4024
Jamestown Business College,3,4167652,4479267,4344,4072,5930,3997,9900,116,329
Jefferson Community College,1,9934788,38040593,3950,1643,1550,3366,3312,469,3314
The Juilliard School,2,27754117,103797594,6467,3302,19850,6264,30500,238,980
SBI Campus-An Affiliate of Sanford-Brown,3,9705023,9978205,4793,3290,1039,10777,11940,270,537
Keuka College,2,28589990,33029546,2931,2609,10539,7309,22040,525,1676
LIM College,3,34102814,32444365,5025,2627,2880,7774,19900,309,1388
Le Moyne College,2,69219828,81842914,4599,2473,12940,7053,25110,812,3524
Long Island University-C W Post Campus,2,385132529,362300411,5736,3488,9029,6841,27368,3972,21414
Long Island Business Institute,3,12287146,12298488,2697,2450,950,2550,13299,272,633
Manhattan College,2,84883173,103946926,5135,3004,11566,7704,25100,862,3461
Manhattan School of Music,2,31792664,34910770,6353,3330,16090,8663,31400,322,930
Manhattanville College,2,75184029,65875438,4891,3304,24533,6179,31490,741,2993
Marist College,2,134966323,183719007,5660,2157,10623,7454,26105,1482,6179
Marymount Manhattan College,2,43637509,49278982,5652,3991,7827,7945,21578,329,2040
Medaille College,2,52820993,46343481,5033,2468,7856,6138,19590,1183,2927
Memorial Hospital School of Nursing,2,779735,1482665,3400,3970,420,1000,6243,41,110
Mercy College,2,141324380,132897414,4973,3288,5257,5922,15990,2450,9673
Mildred Elley School,3,6910372,6952038,5180,3322,500,6752,8496,101,941
Mohawk Valley Community College-Utica Branch,1,20182027,73011051,4648,1774,2288,5455,3350,791,6667
Molloy College,2,74434175,69812998,5433,2610,8504,4289,19970,861,4094
Monroe College-Main Campus,3,108711875,108846411,5980,4721,2702,5989,10944,2506,7290
Monroe Community College,1,54401828,137404761,3400,1392,1678,5226,2900,2598,18976
Mount Saint Mary College,2,46665153,56238940,4763,3386,8646,8031,21210,615,2717
College of Mount Saint Vincent,2,39472093,39264383,5460,3050,10857,6934,24400,365,1894
Nazareth College,2,70038630,78581796,5555,2331,11910,7736,24082,949,3307
The College of New Rochelle,2,54576929,57810330,4875,3439,7972,4972,25576,1184,4859
The New School,2,298782000,313231000,4620,3520,13812,7090,34081,2811,10260
New York University,2,1539431000,3377625000,6482,3742,16598,8260,36586,13171,43404
Niagara County Community College,1,21523833,55671006,4058,1676,1314,4350,3408,970,7279
Niagara University,2,80816302,88068309,5082,2271,14229,10559,23700,1371,4202
North Country Community College,1,6085724,15879675,4027,1845,2526,2995,3660,249,2198
New York School of Interior Design,2,10005795,12435758,4624,2332,6788,7111,16440,100,628
Nyack College,2,54724845,53802902,5218,3522,8929,6765,18500,689,3151
Olean Business Institute,3,888829,1232840,10341,3064,1321,5426,10400,13,81
Onondaga Community College,1,35557372,92150686,4179,1663,610,4640,7048,1039,12038
Orange County Community College,1,21675210,65710412,4013,1586,1470,4863,3500,718,6876
Pace University-New York,2,321502737,282281842,5306,3333,17812,7231,31860,3099,12706
Paul Smiths College of Arts and Science,2,18476648,24975567,4137,2036,8353,7236,19200,223,915
Plaza College,3,663000,7534000,3705,3432,1550,8328,9900,206,776
Polytechnic Institute of New York University,2,106773000,100676000,5796,3697,20802,6725,33274,1437,4514
Davis College,2,1511719,3407689,5225,2584,2333,7106,12480,43,349
Pratt Institute-Main,2,147099715,152892084,3699,2894,13077,9788,33500,1421,4707
Rensselaer Polytechnic Institute,2,241588000,335822000,12001,2152,17194,9510,38100,1790,6901
Roberts Wesleyan College,2,37140994,37312546,5696,2446,10730,8600,22580,624,1928
Everest Institute-Rochester,3,23016976,23016976,4819,2314,500,7846,12744,254,1358
Rochester Institute of Technology,2,349055000,492778000,5769,4792,12408,7072,28866,3304,15445
University of Rochester,2,321252000,2692752000,7273,2612,21709,6645,37870,2778,9506
Rockland Community College,1,23130521,63275197,4305,1613,2296,3761,3425,900,7283
Russell Sage College,2,49252406,46725718,5016,2945,17868,8652,27000,740,2805
Saint Bonaventure University,2,55227506,58080781,7198,2752,14685,7402,24920,618,2465
St. Francis College,2,38586447,38567270,4624,2934,6503,6051,16040,444,2511
St Lawrence University,2,93225351,127376409,8428,2468,23084,5224,39520,560,2401
The College of Saint Rose,2,86414112,90061867,5639,2659,9819,7129,22324,1315,5158
Saint Thomas Aquinas College,2,31973425,33584831,4960,2986,8874,7228,20670,397,2132
Sarah Lawrence College,2,61103683,76810203,5490,2369,28402,5411,41040,476,1701
Schenectady County Community College,1,12491195,34788959,4609,1549,1186,4570,3150,499,5191
Siena College,2,79670001,100566002,5450,2654,11398,7212,25060,689,3305
Skidmore College,2,109380000,173009000,6597,3752,26603,5021,39600,674,2727
Saint Josephs College-Main Campus,2,80118000,76639000,5035,2305,7473,5971,16200,1307,5716
Saint John Fisher College,2,82018056,95472814,4900,2283,11383,6699,23850,1050,3883
St. John's University-New York,2,490163640,475541726,5419,3222,16769,6922,29350,4098,20352
Sullivan County Community College,1,5300396,21581803,3836,2007,1460,4476,3704,207,1735
SUNY College of Technology at Alfred,1,18311803,78324745,4845,2431,3008,7707,4970,856,3530
SUNY College of Technology at Canton,1,16005834,59391350,4555,2982,1727,5731,4970,518,3320
SUNY College of Technology at Delhi,1,14775833,59454761,4541,3097,1189,5764,4970,730,3183
SUNY College of Agriculture and Technology at Cobleskill,1,14949129,65452559,4114,2579,1595,5873,4970,646,2692
Farmingdale State College,1,35414764,107205119,4726,2547,1294,5265,4970,1237,6988
Morrisville State College,1,17445896,80005445,4294,2977,1283,6672,4970,618,3380
SUNY at Albany,1,113705129,653783788,5184,3088,5122,6126,4970,4582,18020
SUNY at Binghamton,1,102510695,375231203,5331,3186,5080,5740,4970,3931,14709
University at Buffalo,1,218126352,883442213,5164,2438,4915,5795,4970,7074,28881
Stony Brook University,1,184618111,1861299698,5443,3392,3109,5445,4970,5760,24681
SUNY College of Environmental Science and Forestry,1,13367513,74085768,4649,2112,1908,4839,4970,420,2642
SUNY Institute of Technology at Utica-Rome,1,13102649,55584396,4379,2755,1596,5615,4970,564,2934
SUNY College at Brockport,1,45862186,156770101,5100,2527,3147,6400,4970,1992,8490
SUNY College at Buffalo,1,62120907,238225528,5135,3047,1290,3670,4950,2641,11714
SUNY College at Cortland,1,42288411,143499951,4216,2436,1266,6441,4970,1882,7322
SUNY at Fredonia,1,33032296,127575597,4749,1990,1471,6990,4970,1341,5774
SUNY at Geneseo,1,32803995,117840337,4849,2076,4155,6077,4970,1277,5660
SUNY College at New Paltz,1,47403742,158121141,5192,3319,1742,5663,4970,2147,7907
SUNY College at Oneonta,1,33902030,137480077,4757,2591,1864,6247,4970,1322,5893
SUNY College at Oswego,1,47545634,165975272,5020,2721,2350,6105,4970,1750,8119
SUNY College at Potsdam,1,27628655,104378545,4676,2546,2491,5900,4970,1022,4299
SUNY at Purchase College,1,30895665,113390194,5289,2910,2269,5180,4970,973,4192
SUNY College at Old Westbury,1,22343220,76954910,5089,3807,4404,5413,4970,704,3897
SUNY College at Plattsburgh,1,40169560,130705174,4938,2487,2607,5466,4970,1499,6453
SUNY Empire State College,1,57578287,112037104,4430,2934,749,7930,4970,3017,14325
SUNY Maritime College,1,12349054,52235678,4764,3796,2871,7061,4970,266,1756
Syracuse University,2,608646865,821674914,6854,2984,22553,7657,33630,4585,19638
Technical Career Institutes,3,59679016,58206368,4505,3218,1091,5382,11120,794,4360
Tompkins Cortland Community College,1,17570247,42619622,4249,1890,2266,4682,3580,614,3699
Touro College,2,157245310,147008900,9354,5000,4000,3500,13300,5511,17116
Trocaire College,2,14104083,15674854,4955,3166,1412,6818,11972,202,1153
Ulster County Community College,1,11675519,31217501,4426,1859,1353,3882,3620,381,3540
Utica College,2,66786639,59810216,4837,2857,12537,12002,27764,731,3273
Utica School of Commerce,3,5838850,5539124,3206,2644,2170,5557,11340,103,501
Vassar College,2,106088932,201955494,6323,2614,32223,3823,41335,602,2453
Villa Maria College Buffalo,2,6551106,7163745,3859,2738,1508,6146,14380,80,503
School of Visual Arts,3,120196790,105605641,6021,3982,5170,9535,26800,949,4051
Wagner College,2,67666760,68738476,5457,2489,14634,9142,32430,589,2265
Wells College,2,12222320,24737796,5233,2098,16535,8394,28180,120,568
The College of Westchester,3,21767927,19358762,4638,3238,3693,9343,17685,319,1363
SUNY Westchester Community College,1,49593192,133166399,3373,1663,1604,3117,3550,1171,14147
Wood Tobe-Coburn School,3,9068234,10086102,5312,4110,1000,7782,16080,217,592
Word of Life Bible Institute,2,4337633,7562283,4194,600,3367,5329,6900,,608
Yeshiva University,2,203267034,589065089,4241,3403,21119,7176,31594,1956,6228
The Art Institute of Charlotte,3,22547805,25923944,6111,698,737,10841,21888,189,1025
Appalachian State University,1,88878573,337089139,4574,3019,1984,4936,2341,3778,16968
Asheville-Buncombe Technical Community College,1,8533885,47746628,4260,1245,1197,3442,1200,587,7542
Barton College,2,20107736,24249377,5197,4502,8871,8439,19100,220,1150
Beaufort County Community College,1,2042872,15031733,4141,1781,571,5227,1600,184,1966
Belmont Abbey College,2,24136639,26761146,3766,5764,12805,5489,20356,305,1638
Bennett College for Women,2,10472283,21648200,5025,4252,3366,10656,13258,79,766
Blue Ridge Community College,1,3308607,18527780,4668,1790,828,602,1600,188,2488
Brevard College,2,13146161,20550125,5042,4045,8586,7185,20900,132,663
Cabarrus College of Health Sciences,2,3440927,7674138,3911,3611,714,4705,9660,127,420
Caldwell Community College and Technical Institute,1,7444169,33910235,4730,1902,947,6595,1600,464,4895
Campbell University Inc,2,95293478,112745885,4568,4521,10790,7179,20700,1485,5894
Cape Fear Community College,1,13562710,55290299,5014,1330,709,3563,1600,897,9001
Carteret Community College,1,2438250,15002979,5068,1963,630,7572,1650,157,1872
Catawba College,2,25184821,39994494,4606,4756,14674,6889,23740,277,1358
Catawba Valley Community College,1,7557054,37353772,4174,1812,948,3931,1687,606,5528
Chowan University,2,18386471,22279985,4811,2577,7724,8880,18850,131,1076
Craven Community College,1,4785697,22253330,4972,1135,343,3098,1200,305,3458
Davidson County Community College,1,5094174,28948472,4517,1752,513,3666,1200,383,4101
Davidson College,2,61013582,167080171,5542,3371,25742,7767,34776,434,1743
Duke University,2,530020000,4511688000,10048,2152,33213,4755,37485,4050,14350
East Carolina University,1,150895176,726273081,5229,3440,2956,6060,2491,5420,27654
Edgecombe Community College,1,2569085,26056056,4469,1680,607,2875,1600,214,3249
Elizabeth City State University,1,15303318,80455669,5250,3224,1248,4243,1681,444,3264
Elon University,2,142082245,172913208,5278,4322,8866,7542,25159,1375,5666
Fayetteville Technical Community College,1,16523876,73288739,3385,1180,1207,4038,1600,815,11203
Fayetteville State University,1,20481270,106393387,5526,1960,1003,4039,1905,1039,6283
Gardner-Webb University,2,46389097,62490861,4837,5409,7622,6866,20780,1055,3909
Greensboro College,2,18413222,21043435,5345,5287,11198,9015,23080,209,1264
Guilford College,2,49426214,60257858,4915,5637,9775,6477,27520,505,2833
Guilford Technical Community College,1,20301101,84099834,7372,1796,1379,6785,1600,889,13432
James Sprunt Community College,1,1725308,12887182,4164,783,610,2563,1600,140,1534
Johnson C Smith University,2,22707241,45781185,4902,4247,6683,7011,13361,218,1466
Johnston Community College,1,6824048,33423135,4344,1770,559,3510,1600,400,4446
Lees-McRae College,2,22151427,20051448,5037,3927,11166,6105,21625,232,906
Lenoir-Rhyne University,2,34342607,49052735,5140,5064,11929,5541,24200,300,1674
Livingstone College,2,14088656,26607359,5093,4766,3877,9204,11354,111,1082
Louisburg College,2,8490124,12813898,4482,4562,5239,6708,12125,66,633
Mars Hill College,2,21679036,30091456,4608,4762,8459,8353,18867,222,1237
Meredith College,2,46716342,57221124,4900,4344,9369,7553,24440,451,2262
Methodist University,2,38094149,42375741,6294,4566,13768,16786,22620,349,2183
Mitchell Community College,1,4157898,22102977,5232,2188,653,3750,1600,272,3557
Montreat College,2,15335434,18103536,4953,5813,7253,7247,20196,358,1251
Mount Olive College,2,32703079,51081524,4351,4073,5830,5603,14446,915,3569
North Carolina A & T State University,1,57773844,247798700,5408,3607,2716,4876,1994,1726,10614
University of North Carolina at Asheville,1,20374602,79595501,4540,3355,2627,5104,2389,677,3897
University of North Carolina at Chapel Hill,1,317817133,2451757618,4994,4261,6634,5606,3865,7388,28916
University of North Carolina at Charlotte,1,149161357,451282812,4775,3586,1443,5680,2516,4821,24701
University of North Carolina at Greensboro,1,90920647,376481414,5003,3697,2009,4990,2590,3612,21306
North Carolina Central University,1,44257182,179083018,5935,3671,2170,5000,2264,1430,8587
University of North Carolina School of the Arts,1,13328608,51549029,5227,4111,3696,6497,3357,186,872
North Carolina State University at Raleigh,1,224156088,1168486875,4793,3821,4675,5251,3953,7253,33819
North Carolina Wesleyan College,2,20469390,22913376,5020,6173,12083,9129,21780,318,1449
University of North Carolina-Wilmington,1,80600761,251345484,4749,3618,2517,5483,2565,3071,12924
Peace College,2,15625102,20548115,5026,5498,10422,6885,23958,114,732
University of North Carolina at Pembroke,1,23717527,108316147,5378,3559,2095,4514,2060,1035,6661
Pfeiffer University,2,23907787,27276558,5167,3759,10105,5986,19040,630,2015
Pitt Community College,1,11260561,44224380,5080,1919,942,7368,1600,683,7512
Queens University of Charlotte,2,35640236,52018182,5291,5388,10188,6762,22730,633,2568
Mid-Atlantic Christian University,2,1338899,3291938,4025,1696,3794,7134,9920,20,165
Rockingham Community College,1,3198144,17559913,5049,1681,591,5500,1200,181,2636
Saint Augustines College,2,21126570,43228502,3285,2997,7039,4117,12004,178,1529
Salem College,2,14987961,24417048,3467,6054,15666,4601,21030,198,985
Sandhills Community College,1,5239927,30483474,4346,1782,563,7185,1600,412,4266
Shaw University,2,31273204,48795041,5527,4344,4685,8916,9336,392,2538
St Andrews Presbyterian College,2,10910756,14357499,5124,4068,8100,6844,21190,137,600
Southeastern Community College,1,3034891,19196957,4143,1340,675,2572,1200,180,2393
Southwestern Community College,1,2936640,18629346,4953,2287,1000,5745,1400,300,2698
Stanly Community College,1,3749101,19626296,4631,1617,677,276,1600,266,3245
Surry Community College,1,4182472,25401828,3524,1419,1002,3052,1600,443,3599
Wake Forest University,2,220626352,1197367262,8694,2498,23842,7085,38206,2021,7079
Wake Technical Community College,1,22203466,94173040,5394,1760,743,5449,1600,1090,15203
Warren Wilson College,2,23303028,37613215,4799,3683,9454,4998,23896,234,1028
Western Piedmont Community College,1,4034674,23324826,5198,1360,878,2255,1600,418,3322
Wilkes Community College,1,4107771,27987292,4101,1707,1005,4042,1600,334,2855
Wilson Community College,1,2885007,17354895,5615,1813,830,948,1600,165,2119
Wingate University,2,35967670,45995493,4755,3500,11106,3877,18990,423,2163
Winston-Salem State University,1,27115234,139875164,5615,2636,5589,5705,1769,1325,6427
Western Carolina University,1,43412427,176939284,4598,3667,1493,4973,2106,2289,9429
Rasmussen College-Fargo,3,25060793,22211732,4116,783,1096,7599,13140,337,1829
Bismarck State College,1,15893447,38470034,4534,1108,1318,5083,2691,866,4022
Dickinson State University,1,14710315,28798954,4187,1206,1415,5514,4160,619,2767
Jamestown College,2,13642960,19975488,5171,1392,7176,7081,14432,172,1010
Lake Region State College,1,4738293,12729982,4190,1124,1052,4873,3065,159,1702
University of Mary,2,34588887,36916952,5376,2460,5247,7036,12360,946,2979
Mayville State University,1,4549357,15385130,4596,1045,1012,6568,4124,114,887
University of North Dakota,1,119217237,388761415,4717,1556,2156,8312,5461,2666,14124
North Dakota State College of Science,1,10620123,37817403,4421,1115,882,7291,3592,597,2650
North Dakota State University-Main Campus,1,126777384,401385013,4863,1454,2464,7046,5448,2948,18584
Trinity Bible College,2,3819166,4848057,4616,1200,3689,8240,11550,53,265
United Tribes Technical College,2,3443154,14853140,4555,1292,1076,2664,2800,71,476
Valley City State University,1,6037006,18117697,4690,1063,2190,5820,4568,187,1083
University of Akron Main Campus,1,235381790,430925624,4751,1070,4847,6676,7345,4261,27822
Allegheny Wesleyan College,2,271561,785379,4331,288,1500,2500,4440,5,61
Art Academy of Cincinnati,2,6102536,6397827,4905,2068,10480,6192,21500,31,187
Ashland University,2,91479227,102032620,4971,2211,15181,8007,24828,1441,6300
Baldwin-Wallace College,2,89534693,113857900,4373,2362,11307,6464,24230,990,4388
Belmont Technical College,1,7758146,15304931,4211,3376,1751,5501,2748,280,2172
Bluffton University,2,22039704,24068883,5135,2180,12305,8451,23594,270,1127
Bohecker College,3,7822400,7781927,5799,9081,1586,7372,9288,113,537
Bowling Green State University-Main Campus,1,195688213,360402531,4599,1315,4498,6465,7778,4219,19764
Capital University,2,89978805,78440133,5169,3123,16974,7991,28480,963,3540
Case Western Reserve University,2,293123569,845615673,6364,2189,22421,7769,35900,2748,9738
Cedarville University,2,64609396,80490664,4680,1589,8051,6659,22304,637,3102
Central State University,1,14534745,58251219,5320,5888,3378,12114,2890,214,2436
